especie,aumento,filename,path,Clase,Caracteristicas visibles,Orientacion
Achapo,160X,Fri Aug 30 14-31-32.bmp,Achapo/160X/Fri Aug 30 14-31-32.bmp,1,2,-41.400001525878906
Achapo,160X,Fri Aug 30 14-32-07.bmp,Achapo/160X/Fri Aug 30 14-32-07.bmp,1,3,-30.599998474121094
Achapo,160X,Fri Aug 30 14-32-31.bmp,Achapo/160X/Fri Aug 30 14-32-31.bmp,1,1,-52.20000076293945
Achapo,160X,Fri Aug 30 14-33-57.bmp,Achapo/160X/Fri Aug 30 14-33-57.bmp,1,2,-16.199996948242188
Achapo,160X,Fri Aug 30 14-35-22.bmp,Achapo/160X/Fri Aug 30 14-35-22.bmp,1,2,-23.399993896484375
Achapo,160X,Fri Aug 30 14-36-44.bmp,Achapo/160X/Fri Aug 30 14-36-44.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 14-38-29.bmp,Achapo/160X/Fri Aug 30 14-38-29.bmp,1,2,-45.0
Achapo,160X,Fri Aug 30 14-39-02.bmp,Achapo/160X/Fri Aug 30 14-39-02.bmp,1,3,-30.599998474121094
Achapo,160X,Fri Aug 30 14-39-55.bmp,Achapo/160X/Fri Aug 30 14-39-55.bmp,1,3,-55.79999923706055
Achapo,160X,Fri Aug 30 14-41-32.bmp,Achapo/160X/Fri Aug 30 14-41-32.bmp,1,3,-30.599998474121094
Achapo,160X,Fri Aug 30 14-42-17.bmp,Achapo/160X/Fri Aug 30 14-42-17.bmp,1,3,-48.599998474121094
Achapo,160X,Fri Aug 30 14-42-40.bmp,Achapo/160X/Fri Aug 30 14-42-40.bmp,1,3,-37.79999923706055
Achapo,160X,Fri Aug 30 14-42-43.bmp,Achapo/160X/Fri Aug 30 14-42-43.bmp,1,3,-34.20000076293945
Achapo,160X,Fri Aug 30 14-43-54.bmp,Achapo/160X/Fri Aug 30 14-43-54.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 14-44-44.bmp,Achapo/160X/Fri Aug 30 14-44-44.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 14-45-06.bmp,Achapo/160X/Fri Aug 30 14-45-06.bmp,1,1,-59.39999961853027
Achapo,160X,Fri Aug 30 14-45-27.bmp,Achapo/160X/Fri Aug 30 14-45-27.bmp,1,1,-59.39999961853027
Achapo,160X,Fri Aug 30 14-46-30.bmp,Achapo/160X/Fri Aug 30 14-46-30.bmp,1,1,81.0
Achapo,160X,Fri Aug 30 16-36-37.bmp,Achapo/160X/Fri Aug 30 16-36-37.bmp,1,2,-34.20000076293945
Achapo,160X,Fri Aug 30 16-38-16.bmp,Achapo/160X/Fri Aug 30 16-38-16.bmp,1,2,-81.0
Achapo,160X,Fri Aug 30 16-38-30.bmp,Achapo/160X/Fri Aug 30 16-38-30.bmp,1,2,-81.0
Achapo,160X,Fri Aug 30 16-41-35.bmp,Achapo/160X/Fri Aug 30 16-41-35.bmp,1,2,-84.60000038146973
Achapo,160X,Fri Aug 30 16-41-37.bmp,Achapo/160X/Fri Aug 30 16-41-37.bmp,1,1,-88.20000004768372
Achapo,160X,Fri Aug 30 16-42-04.bmp,Achapo/160X/Fri Aug 30 16-42-04.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 16-42-21.bmp,Achapo/160X/Fri Aug 30 16-42-21.bmp,1,1,88.19999694824219
Achapo,160X,Fri Aug 30 16-43-30.bmp,Achapo/160X/Fri Aug 30 16-43-30.bmp,1,1,55.80000305175781
Achapo,160X,Fri Aug 30 16-44-02.bmp,Achapo/160X/Fri Aug 30 16-44-02.bmp,1,2,27.0
Achapo,160X,Fri Aug 30 16-44-14.bmp,Achapo/160X/Fri Aug 30 16-44-14.bmp,1,1,12.600006103515625
Achapo,160X,Fri Aug 30 16-45-21.bmp,Achapo/160X/Fri Aug 30 16-45-21.bmp,1,1,12.600006103515625
Achapo,160X,Fri Aug 30 16-46-03.bmp,Achapo/160X/Fri Aug 30 16-46-03.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 16-46-25.bmp,Achapo/160X/Fri Aug 30 16-46-25.bmp,1,2,-45.0
Achapo,160X,Fri Aug 30 16-46-40.bmp,Achapo/160X/Fri Aug 30 16-46-40.bmp,1,1,-52.20000076293945
Achapo,160X,Fri Aug 30 16-46-44.bmp,Achapo/160X/Fri Aug 30 16-46-44.bmp,1,2,-48.599998474121094
Achapo,160X,Fri Aug 30 16-48-13.bmp,Achapo/160X/Fri Aug 30 16-48-13.bmp,1,1,-81.0
Achapo,160X,Fri Aug 30 16-49-10.bmp,Achapo/160X/Fri Aug 30 16-49-10.bmp,1,2,-70.20000076293945
Achapo,160X,Fri Aug 30 16-49-30.bmp,Achapo/160X/Fri Aug 30 16-49-30.bmp,1,1,55.80000305175781
Achapo,160X,Fri Aug 30 16-50-42.bmp,Achapo/160X/Fri Aug 30 16-50-42.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 16-51-21.bmp,Achapo/160X/Fri Aug 30 16-51-21.bmp,1,2,12.600006103515625
Achapo,160X,Fri Aug 30 16-52-22.bmp,Achapo/160X/Fri Aug 30 16-52-22.bmp,1,1,9.0
Achapo,160X,Fri Aug 30 16-52-42.bmp,Achapo/160X/Fri Aug 30 16-52-42.bmp,1,1,66.60000610351562
Achapo,160X,Fri Aug 30 16-53-05.bmp,Achapo/160X/Fri Aug 30 16-53-05.bmp,1,2,81.0
Achapo,160X,Fri Aug 30 16-56-03.bmp,Achapo/160X/Fri Aug 30 16-56-03.bmp,1,1,12.600006103515625
Achapo,160X,Fri Aug 30 16-56-20.bmp,Achapo/160X/Fri Aug 30 16-56-20.bmp,1,1,-81.0
Achapo,160X,Fri Aug 30 16-58-57.bmp,Achapo/160X/Fri Aug 30 16-58-57.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 16-59-50.bmp,Achapo/160X/Fri Aug 30 16-59-50.bmp,1,2,9.0
Achapo,160X,Fri Aug 30 16-59-54.bmp,Achapo/160X/Fri Aug 30 16-59-54.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 17-00-00.bmp,Achapo/160X/Fri Aug 30 17-00-00.bmp,1,2,5.399993896484375
Achapo,160X,Fri Aug 30 17-00-30.bmp,Achapo/160X/Fri Aug 30 17-00-30.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 17-01-24.bmp,Achapo/160X/Fri Aug 30 17-01-24.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 17-01-34.bmp,Achapo/160X/Fri Aug 30 17-01-34.bmp,1,2,-16.199996948242188
Achapo,160X,Fri Aug 30 17-02-01.bmp,Achapo/160X/Fri Aug 30 17-02-01.bmp,1,1,-12.600006103515625
Achapo,160X,Fri Aug 30 17-03-19.bmp,Achapo/160X/Fri Aug 30 17-03-19.bmp,1,3,-5.399993896484375
Achapo,160X,Fri Aug 30 17-03-33.bmp,Achapo/160X/Fri Aug 30 17-03-33.bmp,1,2,-1.8000030517578125
Achapo,160X,Fri Aug 30 17-03-51.bmp,Achapo/160X/Fri Aug 30 17-03-51.bmp,1,3,-19.800003051757812
Achapo,160X,Fri Aug 30 17-04-31.bmp,Achapo/160X/Fri Aug 30 17-04-31.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 17-06-05.bmp,Achapo/160X/Fri Aug 30 17-06-05.bmp,1,2,-48.599998474121094
Achapo,160X,Fri Aug 30 17-06-25.bmp,Achapo/160X/Fri Aug 30 17-06-25.bmp,1,2,9.0
Achapo,160X,Fri Aug 30 17-06-56.bmp,Achapo/160X/Fri Aug 30 17-06-56.bmp,1,3,-12.600006103515625
Achapo,160X,Fri Aug 30 17-12-56.bmp,Achapo/160X/Fri Aug 30 17-12-56.bmp,1,2,77.39999389648438
Achapo,160X,Fri Aug 30 17-13-17.bmp,Achapo/160X/Fri Aug 30 17-13-17.bmp,1,3,88.19999694824219
Achapo,160X,Fri Aug 30 17-13-28.bmp,Achapo/160X/Fri Aug 30 17-13-28.bmp,1,1,-88.20000004768372
Achapo,160X,Fri Aug 30 17-13-59.bmp,Achapo/160X/Fri Aug 30 17-13-59.bmp,1,3,-81.0
Achapo,160X,Fri Aug 30 17-14-37.bmp,Achapo/160X/Fri Aug 30 17-14-37.bmp,1,2,-81.0
Achapo,160X,Fri Aug 30 17-14-55.bmp,Achapo/160X/Fri Aug 30 17-14-55.bmp,1,2,-73.79999923706055
Achapo,160X,Fri Aug 30 17-14-59.bmp,Achapo/160X/Fri Aug 30 17-14-59.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-15-27.bmp,Achapo/160X/Fri Aug 30 17-15-27.bmp,1,2,48.600006103515625
Achapo,160X,Fri Aug 30 17-15-59.bmp,Achapo/160X/Fri Aug 30 17-15-59.bmp,1,2,-41.400001525878906
Achapo,160X,Fri Aug 30 17-16-08.bmp,Achapo/160X/Fri Aug 30 17-16-08.bmp,1,2,45.0
Achapo,160X,Fri Aug 30 17-19-50.bmp,Achapo/160X/Fri Aug 30 17-19-50.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 17-20-02.bmp,Achapo/160X/Fri Aug 30 17-20-02.bmp,1,2,-5.399993896484375
Achapo,160X,Fri Aug 30 17-20-35.bmp,Achapo/160X/Fri Aug 30 17-20-35.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 17-21-00.bmp,Achapo/160X/Fri Aug 30 17-21-00.bmp,1,1,27.0
Achapo,160X,Fri Aug 30 17-21-13.bmp,Achapo/160X/Fri Aug 30 17-21-13.bmp,1,2,12.600006103515625
Achapo,160X,Fri Aug 30 17-21-30.bmp,Achapo/160X/Fri Aug 30 17-21-30.bmp,1,2,12.600006103515625
Achapo,160X,Fri Aug 30 17-21-43.bmp,Achapo/160X/Fri Aug 30 17-21-43.bmp,1,2,12.600006103515625
Achapo,160X,Fri Aug 30 17-22-36.bmp,Achapo/160X/Fri Aug 30 17-22-36.bmp,1,2,-34.20000076293945
Achapo,160X,Fri Aug 30 17-22-50.bmp,Achapo/160X/Fri Aug 30 17-22-50.bmp,1,2,-30.599998474121094
Achapo,160X,Fri Aug 30 17-23-03.bmp,Achapo/160X/Fri Aug 30 17-23-03.bmp,1,2,-19.800003051757812
Achapo,160X,Fri Aug 30 17-23-14.bmp,Achapo/160X/Fri Aug 30 17-23-14.bmp,1,2,-23.399993896484375
Achapo,160X,Fri Aug 30 17-23-45.bmp,Achapo/160X/Fri Aug 30 17-23-45.bmp,1,3,-66.5999984741211
Achapo,160X,Fri Aug 30 17-23-54.bmp,Achapo/160X/Fri Aug 30 17-23-54.bmp,1,3,-63.0
Achapo,160X,Fri Aug 30 17-24-10.bmp,Achapo/160X/Fri Aug 30 17-24-10.bmp,1,2,-45.0
Achapo,160X,Fri Aug 30 17-24-43.bmp,Achapo/160X/Fri Aug 30 17-24-43.bmp,1,2,-48.599998474121094
Achapo,160X,Fri Aug 30 17-24-53.bmp,Achapo/160X/Fri Aug 30 17-24-53.bmp,1,3,-37.79999923706055
Achapo,160X,Fri Aug 30 17-25-08.bmp,Achapo/160X/Fri Aug 30 17-25-08.bmp,1,3,-45.0
Achapo,160X,Fri Aug 30 17-25-18.bmp,Achapo/160X/Fri Aug 30 17-25-18.bmp,1,3,-30.599998474121094
Achapo,160X,Fri Aug 30 17-25-26.bmp,Achapo/160X/Fri Aug 30 17-25-26.bmp,1,3,-41.400001525878906
Achapo,160X,Fri Aug 30 17-26-03.bmp,Achapo/160X/Fri Aug 30 17-26-03.bmp,1,2,55.80000305175781
Achapo,160X,Fri Aug 30 17-26-44.bmp,Achapo/160X/Fri Aug 30 17-26-44.bmp,1,2,52.19999694824219
Achapo,160X,Fri Aug 30 17-26-52.bmp,Achapo/160X/Fri Aug 30 17-26-52.bmp,1,2,52.19999694824219
Achapo,160X,Fri Aug 30 17-27-03.bmp,Achapo/160X/Fri Aug 30 17-27-03.bmp,1,2,48.600006103515625
Achapo,160X,Fri Aug 30 17-27-11.bmp,Achapo/160X/Fri Aug 30 17-27-11.bmp,1,2,45.0
Achapo,160X,Fri Aug 30 17-27-47.bmp,Achapo/160X/Fri Aug 30 17-27-47.bmp,1,2,48.600006103515625
Achapo,160X,Fri Aug 30 17-27-51.bmp,Achapo/160X/Fri Aug 30 17-27-51.bmp,1,3,48.600006103515625
Achapo,160X,Fri Aug 30 17-27-57.bmp,Achapo/160X/Fri Aug 30 17-27-57.bmp,1,2,52.19999694824219
Achapo,160X,Fri Aug 30 17-28-09.bmp,Achapo/160X/Fri Aug 30 17-28-09.bmp,1,3,52.19999694824219
Achapo,160X,Fri Aug 30 17-28-11.bmp,Achapo/160X/Fri Aug 30 17-28-11.bmp,1,3,52.19999694824219
Achapo,160X,Fri Aug 30 17-29-24.bmp,Achapo/160X/Fri Aug 30 17-29-24.bmp,1,2,88.19999694824219
Achapo,160X,Fri Aug 30 17-29-45.bmp,Achapo/160X/Fri Aug 30 17-29-45.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 17-29-50.bmp,Achapo/160X/Fri Aug 30 17-29-50.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 17-29-59.bmp,Achapo/160X/Fri Aug 30 17-29-59.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 17-30-18.bmp,Achapo/160X/Fri Aug 30 17-30-18.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 17-30-42.bmp,Achapo/160X/Fri Aug 30 17-30-42.bmp,1,2,-88.20000004768372
Achapo,160X,Fri Aug 30 17-30-53.bmp,Achapo/160X/Fri Aug 30 17-30-53.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-31-22.bmp,Achapo/160X/Fri Aug 30 17-31-22.bmp,1,2,81.0
Achapo,160X,Fri Aug 30 17-31-57.bmp,Achapo/160X/Fri Aug 30 17-31-57.bmp,1,2,-37.79999923706055
Achapo,160X,Fri Aug 30 17-32-19.bmp,Achapo/160X/Fri Aug 30 17-32-19.bmp,1,3,59.399993896484375
Achapo,160X,Fri Aug 30 17-32-54.bmp,Achapo/160X/Fri Aug 30 17-32-54.bmp,1,2,66.60000610351562
Achapo,160X,Fri Aug 30 17-33-15.bmp,Achapo/160X/Fri Aug 30 17-33-15.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-33-27.bmp,Achapo/160X/Fri Aug 30 17-33-27.bmp,1,3,88.19999694824219
Achapo,160X,Fri Aug 30 17-33-46.bmp,Achapo/160X/Fri Aug 30 17-33-46.bmp,1,3,81.0
Achapo,160X,Fri Aug 30 17-35-41.bmp,Achapo/160X/Fri Aug 30 17-35-41.bmp,1,1,12.600006103515625
Achapo,160X,Fri Aug 30 17-35-57.bmp,Achapo/160X/Fri Aug 30 17-35-57.bmp,1,2,9.0
Achapo,160X,Fri Aug 30 17-36-03.bmp,Achapo/160X/Fri Aug 30 17-36-03.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 17-36-11.bmp,Achapo/160X/Fri Aug 30 17-36-11.bmp,1,3,1.8000030517578125
Achapo,160X,Fri Aug 30 17-36-22.bmp,Achapo/160X/Fri Aug 30 17-36-22.bmp,1,2,1.8000030517578125
Achapo,160X,Fri Aug 30 17-36-31.bmp,Achapo/160X/Fri Aug 30 17-36-31.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 17-36-48.bmp,Achapo/160X/Fri Aug 30 17-36-48.bmp,1,1,-52.20000076293945
Achapo,160X,Fri Aug 30 17-37-05.bmp,Achapo/160X/Fri Aug 30 17-37-05.bmp,1,2,-55.79999923706055
Achapo,160X,Fri Aug 30 17-37-37.bmp,Achapo/160X/Fri Aug 30 17-37-37.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-38-42.bmp,Achapo/160X/Fri Aug 30 17-38-42.bmp,1,2,-70.20000076293945
Achapo,160X,Fri Aug 30 17-38-54.bmp,Achapo/160X/Fri Aug 30 17-38-54.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-38-57.bmp,Achapo/160X/Fri Aug 30 17-38-57.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-39-01.bmp,Achapo/160X/Fri Aug 30 17-39-01.bmp,1,2,-70.20000076293945
Achapo,160X,Fri Aug 30 17-39-04.bmp,Achapo/160X/Fri Aug 30 17-39-04.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-39-07.bmp,Achapo/160X/Fri Aug 30 17-39-07.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-39-10.bmp,Achapo/160X/Fri Aug 30 17-39-10.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-39-17.bmp,Achapo/160X/Fri Aug 30 17-39-17.bmp,1,2,-66.5999984741211
Achapo,160X,Fri Aug 30 17-40-53.bmp,Achapo/160X/Fri Aug 30 17-40-53.bmp,1,2,66.60000610351562
Achapo,160X,Fri Aug 30 17-41-00.bmp,Achapo/160X/Fri Aug 30 17-41-00.bmp,1,3,66.60000610351562
Achapo,160X,Fri Aug 30 17-41-10.bmp,Achapo/160X/Fri Aug 30 17-41-10.bmp,1,3,70.19999694824219
Achapo,160X,Fri Aug 30 17-41-15.bmp,Achapo/160X/Fri Aug 30 17-41-15.bmp,1,2,70.19999694824219
Achapo,160X,Fri Aug 30 17-41-42.bmp,Achapo/160X/Fri Aug 30 17-41-42.bmp,1,2,73.80000305175781
Achapo,160X,Fri Aug 30 17-41-54.bmp,Achapo/160X/Fri Aug 30 17-41-54.bmp,1,1,73.80000305175781
Achapo,160X,Fri Aug 30 17-42-10.bmp,Achapo/160X/Fri Aug 30 17-42-10.bmp,1,2,77.39999389648438
Achapo,160X,Fri Aug 30 17-42-44.bmp,Achapo/160X/Fri Aug 30 17-42-44.bmp,1,3,59.399993896484375
Achapo,160X,Fri Aug 30 17-43-28.bmp,Achapo/160X/Fri Aug 30 17-43-28.bmp,1,3,52.19999694824219
Achapo,160X,Fri Aug 30 17-43-45.bmp,Achapo/160X/Fri Aug 30 17-43-45.bmp,1,2,52.19999694824219
Achapo,160X,Fri Aug 30 17-44-21.bmp,Achapo/160X/Fri Aug 30 17-44-21.bmp,1,3,55.80000305175781
Achapo,160X,Fri Aug 30 17-44-37.bmp,Achapo/160X/Fri Aug 30 17-44-37.bmp,1,2,52.19999694824219
Achapo,160X,Fri Aug 30 17-45-12.bmp,Achapo/160X/Fri Aug 30 17-45-12.bmp,1,1,-27.0
Achapo,160X,Fri Aug 30 17-45-18.bmp,Achapo/160X/Fri Aug 30 17-45-18.bmp,1,2,-55.79999923706055
Achapo,160X,Fri Aug 30 17-45-21.bmp,Achapo/160X/Fri Aug 30 17-45-21.bmp,1,3,12.600006103515625
Achapo,160X,Fri Aug 30 17-45-26.bmp,Achapo/160X/Fri Aug 30 17-45-26.bmp,1,1,-5.399993896484375
Achapo,160X,Fri Aug 30 17-45-34.bmp,Achapo/160X/Fri Aug 30 17-45-34.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-45-37.bmp,Achapo/160X/Fri Aug 30 17-45-37.bmp,1,2,48.600006103515625
Achapo,160X,Fri Aug 30 17-45-41.bmp,Achapo/160X/Fri Aug 30 17-45-41.bmp,1,2,-27.0
Achapo,160X,Fri Aug 30 17-45-46.bmp,Achapo/160X/Fri Aug 30 17-45-46.bmp,1,2,-77.39999961853027
Achapo,160X,Fri Aug 30 17-46-20.bmp,Achapo/160X/Fri Aug 30 17-46-20.bmp,1,2,34.19999694824219
Achapo,160X,Fri Aug 30 17-46-30.bmp,Achapo/160X/Fri Aug 30 17-46-30.bmp,1,2,45.0
Achapo,160X,Fri Aug 30 17-46-54.bmp,Achapo/160X/Fri Aug 30 17-46-54.bmp,1,2,34.19999694824219
Achapo,160X,Fri Aug 30 17-47-16.bmp,Achapo/160X/Fri Aug 30 17-47-16.bmp,1,2,23.399993896484375
Achapo,160X,Fri Aug 30 17-47-21.bmp,Achapo/160X/Fri Aug 30 17-47-21.bmp,1,3,23.399993896484375
Achapo,160X,Fri Aug 30 17-47-27.bmp,Achapo/160X/Fri Aug 30 17-47-27.bmp,1,2,37.80000305175781
Achapo,160X,Fri Aug 30 17-47-31.bmp,Achapo/160X/Fri Aug 30 17-47-31.bmp,1,2,41.399993896484375
Achapo,160X,Fri Aug 30 17-47-47.bmp,Achapo/160X/Fri Aug 30 17-47-47.bmp,1,2,77.39999389648438
Achapo,160X,Fri Aug 30 17-48-37.bmp,Achapo/160X/Fri Aug 30 17-48-37.bmp,1,2,-48.599998474121094
Achapo,160X,Fri Aug 30 17-48-46.bmp,Achapo/160X/Fri Aug 30 17-48-46.bmp,1,2,-37.79999923706055
Achapo,160X,Fri Aug 30 17-49-30.bmp,Achapo/160X/Fri Aug 30 17-49-30.bmp,1,2,48.600006103515625
Achapo,160X,Fri Aug 30 17-49-40.bmp,Achapo/160X/Fri Aug 30 17-49-40.bmp,1,3,55.80000305175781
Achapo,160X,Fri Aug 30 17-50-21.bmp,Achapo/160X/Fri Aug 30 17-50-21.bmp,1,2,-81.0
Achapo,160X,Fri Aug 30 17-50-26.bmp,Achapo/160X/Fri Aug 30 17-50-26.bmp,1,1,63.0
Achapo,160X,Fri Aug 30 17-50-31.bmp,Achapo/160X/Fri Aug 30 17-50-31.bmp,1,2,34.19999694824219
Achapo,160X,Fri Aug 30 17-51-06.bmp,Achapo/160X/Fri Aug 30 17-51-06.bmp,1,3,27.0
Achapo,160X,Fri Aug 30 17-51-15.bmp,Achapo/160X/Fri Aug 30 17-51-15.bmp,1,2,23.399993896484375
Achapo,160X,Fri Aug 30 17-51-25.bmp,Achapo/160X/Fri Aug 30 17-51-25.bmp,1,2,-12.600006103515625
Achapo,160X,Fri Aug 30 17-51-35.bmp,Achapo/160X/Fri Aug 30 17-51-35.bmp,1,3,1.8000030517578125
Achapo,160X,Fri Aug 30 17-51-39.bmp,Achapo/160X/Fri Aug 30 17-51-39.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 17-51-44.bmp,Achapo/160X/Fri Aug 30 17-51-44.bmp,1,2,-9.0
Achapo,160X,Fri Aug 30 17-52-07.bmp,Achapo/160X/Fri Aug 30 17-52-07.bmp,1,3,-16.199996948242188
Achapo,160X,Fri Aug 30 17-52-17.bmp,Achapo/160X/Fri Aug 30 17-52-17.bmp,1,2,-12.600006103515625
Achapo,160X,IPC_2019-08-30.16.35.48.3710.bmp,Achapo/160X/IPC_2019-08-30.16.35.48.3710.bmp,1,2,5.399993896484375
Achapo,160X,IPC_2019-08-30.16.35.58.1240.bmp,Achapo/160X/IPC_2019-08-30.16.35.58.1240.bmp,1,1,-12.600006103515625
Achapo,160X,IPC_2019-08-30.16.36.41.3110.bmp,Achapo/160X/IPC_2019-08-30.16.36.41.3110.bmp,1,2,-16.199996948242188
Achapo,160X,IPC_2019-08-30.16.36.54.4260.bmp,Achapo/160X/IPC_2019-08-30.16.36.54.4260.bmp,1,2,-84.60000038146973
Achapo,160X,IPC_2019-08-30.16.36.58.5580.bmp,Achapo/160X/IPC_2019-08-30.16.36.58.5580.bmp,1,2,70.19999694824219
Achapo,160X,IPC_2019-08-30.16.37.04.0450.bmp,Achapo/160X/IPC_2019-08-30.16.37.04.0450.bmp,1,2,81.0
Achapo,160X,IPC_2019-08-30.16.37.09.6770.bmp,Achapo/160X/IPC_2019-08-30.16.37.09.6770.bmp,1,2,73.80000305175781
Achapo,160X,IPC_2019-08-30.16.37.35.9260.bmp,Achapo/160X/IPC_2019-08-30.16.37.35.9260.bmp,1,2,-41.400001525878906
Achapo,160X,IPC_2019-08-30.16.37.39.9440.bmp,Achapo/160X/IPC_2019-08-30.16.37.39.9440.bmp,1,2,-19.800003051757812
Achapo,160X,IPC_2019-08-30.16.37.43.7790.bmp,Achapo/160X/IPC_2019-08-30.16.37.43.7790.bmp,1,2,-23.399993896484375
Achapo,160X,IPC_2019-08-30.16.38.00.9300.bmp,Achapo/160X/IPC_2019-08-30.16.38.00.9300.bmp,1,3,-12.600006103515625
Achapo,160X,IPC_2019-08-30.16.38.04.1830.bmp,Achapo/160X/IPC_2019-08-30.16.38.04.1830.bmp,1,2,-12.600006103515625
Achapo,160X,IPC_2019-08-30.16.38.08.8310.bmp,Achapo/160X/IPC_2019-08-30.16.38.08.8310.bmp,1,3,-30.599998474121094
Achapo,160X,IPC_2019-08-30.16.38.12.4300.bmp,Achapo/160X/IPC_2019-08-30.16.38.12.4300.bmp,1,3,-27.0
Achapo,160X,IPC_2019-08-30.16.38.15.3150.bmp,Achapo/160X/IPC_2019-08-30.16.38.15.3150.bmp,1,3,-30.599998474121094
Achapo,160X,IPC_2019-08-30.16.38.18.7980.bmp,Achapo/160X/IPC_2019-08-30.16.38.18.7980.bmp,1,2,-19.800003051757812
Achapo,160X,IPC_2019-08-30.16.38.22.0340.bmp,Achapo/160X/IPC_2019-08-30.16.38.22.0340.bmp,1,3,-16.199996948242188
Achapo,160X,IPC_2019-08-30.16.38.25.5830.bmp,Achapo/160X/IPC_2019-08-30.16.38.25.5830.bmp,1,2,-23.399993896484375
Achapo,160X,IPC_2019-08-30.16.38.28.8490.bmp,Achapo/160X/IPC_2019-08-30.16.38.28.8490.bmp,1,2,-27.0
